YEAR,Season,pH,DO,TDS,FCO,TN
2022,Wet Rainy ,7.956,5.84,68.86,1,264.2
2022,Cool Dry,7.502,5.66,69.24,1,243.2
2022,Cool Dry,7.596,6.406,70.946,,204.6
2022,Wet Rainy ,7.598,3.946,66.642,1,260.2
2022,Wet Rainy ,7.738,5.34,62.616,,313.2
2022,Wet Rainy ,7.66,4.556,68.644,1,326.6
2022,Hot Dry,7.858,5.896,63.17,,317
2022,Hot Dry,7.636,6.45,62.268,0,727.2
2022,Hot Dry,8.05,7.538,63.788,0,235.4
2022,Wet Rainy ,7.44,3.376,63.058,,574.2
2022,Cool Dry,7.676,5.92,69.45,1,184.8
2023,Hot Dry,7.976,6.402,64.49,0,259.8
2023,Wet Rainy ,7.726,4.986,64.21,4,246.4
2023,Hot Dry,7.522,5.228,63.98,0,266.4
2023,Wet Rainy ,7.83,5.104,63.438,5,346.8
2023,Wet Rainy ,7.72,4.652,64.206,0,326
2023,Wet Rainy ,7.754,5.344,63.962,0,415.6
2023,Hot Dry,7.982,7.61,64.768,0,345.8
2023,Cool Dry,7.914,6.996,63.854,,131.6
2023,Cool Dry,7.302,5.508,63.3,,480.2
2023,Wet Rainy ,7.838,4.944,62.314,0,225.2
2024,Wet Rainy ,7.912,6.624,63.802,4,394.4
2024,Hot Dry,7.816,7.282,70.194,9,
2024,Wet Rainy ,7.514,3.818,63.018,,535.8
2024,Cool Dry,7.64,7.586,69.344,,245.2
2024,Wet Rainy ,7.852,5.964,65.656,,561.6
2024,Wet Rainy ,7.79,4.816,63.468,,1039.4
2024,Cool Dry,7.842,6.688,55.29,6,403.6
2024,Cool Dry,7.46,6.224,67.022,1,383.8
2024,Hot Dry,7.86,7.094,70.406,,
