YEAR,Season,pH,DO,TDS,FCO,TN
2022,Cool Dry,7.39,6.18,69.7,6,251
2022,Hot Dry,7.3,5.96,64.8,1,279
2022,Wet Rainy ,7.49,5.87,66.14,4,232
2022,Cool Dry,7.34,6.06,72.2,0,222
2022,Wet Rainy ,7.59,5.6,69.6,2,972
2022,Wet Rainy ,7.44,5.97,64.4,3,328
2022,Hot Dry,7.39,6.14,62.2,0,626
2022,Hot Dry,7.68,6.55,63.33,8,345
2022,Wet Rainy ,7.75,6.21,65.3,47,584
2022,Wet Rainy ,7.39,6.33,68.26,39,428
2022,Cool Dry,7.37,6.73,69.9,11,142
2022,Cool Dry,7.23,5.31,66.5,43,268
2023,Wet Rainy ,7.36,5,64.4,2,213
2023,Wet Rainy ,7.54,5.99,64.85,19,258
2023,Wet Rainy ,7.71,6.15,65.3,7,253
2023,Hot Dry,7.55,6.58,65.6,5,251
2023,Wet Rainy ,7.86,6.18,64.3,32,316
2023,Wet Rainy ,7.05,4.81,62.4,91,221
2023,Wet Rainy ,7.82,6.84,64.7,1,376
2023,Cool Dry,7.32,6.24,64.1,1,266
2023,Cool Dry,7.65,6.83,64.6,1,125
2023,Hot Dry,7.04,4.2,64.02,0,370
2023,Hot Dry,8.65,7.71,66.43,0,261
2024,Cool Dry,7.36,7.16,68.92,20,230
2024,Hot Dry,7.39,6.62,71.3,11,
2024,Hot Dry,7.49,6.67,69.82,36,
2024,Cool Dry,7.6,6.83,67.24,32,512
2024,Wet Rainy ,7.71,6.75,62.85,117,237
2024,Wet Rainy ,7.13,3.76,63.16,1,186
2024,Wet Rainy ,7.86,6.83,66,72,245
2024,Cool Dry,7.8,6.95,69.43,16,318
2024,Hot Dry,7.56,6.52,70.86,18,
