YEAR,Season,pH,DO,TDS,FCO,TN
2022,Wet Rainy ,8.57,7.77,69.63,,552
2022,Cool Dry,7.7,6.66,69.43,,243
2022,Cool Dry,7.6,6.48,70.8,,216
2022,Wet Rainy ,8.52,7.51,67.93,,190
2022,Wet Rainy ,8.13,6.96,63.22,,343
2022,Wet Rainy ,8.57,7.87,70.03,,334
2022,Hot Dry,8.91,8.36,64.83,,287
2022,Hot Dry,7.84,7.37,62.5,,536
2022,Hot Dry,8.49,8.31,64.8,,228
2022,Wet Rainy ,8.26,7.33,64.8,,364
2022,Cool Dry,7.91,7.22,69.81,,171
2023,Hot Dry,8.48,7.48,65.41,,196
2023,Wet Rainy ,8.51,7.66,65.16,,434
2023,Hot Dry,8.64,7.71,66.5,,252
2023,Wet Rainy ,8.71,7.73,64.25,,572
2023,Wet Rainy ,8.69,7.89,65.78,,296
2023,Wet Rainy ,8.49,7.75,64.53,,845
2023,Hot Dry,8.84,8.68,66.21,,297
2023,Cool Dry,8.39,8.08,64.03,,94
2023,Cool Dry,7.89,7.92,63.05,,382
2023,Wet Rainy ,8.87,8.39,63.67,,258
2024,Hot Dry,8.29,8.56,70.66,,
2024,Wet Rainy ,8.43,7.9,63.74,,237
2024,Cool Dry,7.97,8.54,68.9,,254
2024,Wet Rainy ,8.18,7.23,65.8,,515
2024,Wet Rainy ,8.74,8.19,64.43,,224
2024,Wet Rainy ,7.95,7.36,68.9,,280
2024,Cool Dry,7.54,6.81,67.12,,223
2024,Hot Dry,8.4,8.59,70.44,,
2024,Wet Rainy ,7.86,6.83,66,72,245
2024,Cool Dry,7.8,6.95,69.43,16,318
2024,Hot Dry,7.56,6.52,70.86,18,
