YEAR,Season,pH,DO,TDS,FCO,TN
2022,Hot Dry,8.69,8.96,90.11,2,1020
2022,Cool Dry,8.44,8.67,75.21,20,390
2022,Cool Dry,7.85,8.18,77.7,4,376
2022,Wet Rainy ,8.74,8.71,77.38,388,520
2022,Wet Rainy ,7.46,7.02,75.3,25,619
2022,Wet Rainy ,8.04,7.85,87.9,25,554
2022,Hot Dry,7.46,5.31,79.22,162,665
2022,Wet Rainy ,8.46,7.17,74.2,43,783
2022,Cool Dry,7.77,7.32,78.7,33,378
2022,Hot Dry,8.94,8.57,72.76,1,625
2023,Wet Rainy ,8.74,8.89,74.9,39,384
2023,Wet Rainy ,7.58,6.15,75.61,46,266
2023,Wet Rainy ,7.47,5.17,78.32,214,556
2023,Hot Dry,7.41,5.72,74.7,0,520
2023,Hot Dry,9.09,9.03,76.14,24,912
2023,Wet Rainy ,8.1,6.99,73.4,291,592
2023,Wet Rainy ,7.86,7.48,76.73,23,415
2023,Cool Dry,7.51,6.97,75.37,14,279
2023,Cool Dry,8.15,8.35,68.1,12,419
2023,Wet Rainy ,8.83,9.43,75.71,10,541
2024,Cool Dry,7.99,8.12,76.1,24,591
2024,Hot Dry,8.6,9.19,77.11,20,
2024,Wet Rainy ,9.07,11.63,71.54,43,1147
2024,Wet Rainy ,7.35,5.15,67.74,225,601
2024,Hot Dry,8.51,9.83,71.64,61,461
2024,Wet Rainy ,8.31,8.48,72.54,47,524
2024,Cool Dry,8.22,8.76,70.56,38,1100
2024,Hot Dry,7.28,5.25,11,18,
