YEAR,Season,pH,DO,TDS,FCO,TN
2022,Wet Rainy ,8.53,7.7,69.6,6,524
2022,Cool Dry,7.62,7.04,69.74,2,216
2022,Wet Rainy ,7.7,7.18,68.6,11,283
2022,Cool Dry,7.89,8.18,71.93,2,224
2022,Wet Rainy ,8.28,7.25,65.02,3,445
2022,Wet Rainy ,7.26,7.84,70.21,1,375
2022,Hot Dry,8.68,7.69,66.61,5,236
2022,Cool Dry,7.79,7.36,69.23,44,150
2022,Wet Rainy ,8.32,7.29,69.31,61,264
2022,Hot Dry,8.13,8.03,66.6,2,223
2022,Hot Dry,8.22,7.91,63.83,,640
2022,Wet Rainy ,8.66,7.46,65.5,10,431
2023,Wet Rainy ,8.31,7.4,65.7,21,221
2023,Wet Rainy ,8.26,7.36,65.45,248,204
2023,Wet Rainy ,8.17,7.23,65.8,33,592
2023,Hot Dry,7.83,8.57,67.81,6,431
2023,Wet Rainy ,8.56,7.5,64.52,142,423
2023,Wet Rainy ,8.16,7.39,66.03,13,279
2023,Hot Dry,8.78,8.41,66.22,5,548
2023,Wet Rainy ,7.48,7.97,62.36,59,225
2023,Cool Dry,8.24,8.22,64.8,6,314
2023,Cool Dry,8.23,7.97,64.45,14,97
2023,Hot Dry,7.51,7.16,64.46,15,334
2024,Hot Dry,8.22,8.46,70.74,9,
2024,Cool Dry,7.89,8.61,69.29,6,235
2024,Wet Rainy ,8.7,8.11,64.44,1,1545
2024,Wet Rainy ,8.2,8.01,64.2,96,250
2024,Cool Dry,7.63,7.3,67.43,85,568
2024,Wet Rainy ,8.01,7.13,66.72,190,587
2024,Cool Dry,7.86,7.5,69.7,126,348
2024,Hot Dry,8.34,8.6,71,1,
