YEAR,Season,pH,DO,TDS,FCO,TN
2022,Wet Rainy ,8.5,7.98,71.5,13,405
2022,Hot Dry,8.18,8.32,79.8,1,655
2022,Cool Dry,7.97,7.69,74.61,15,348
2022,Cool Dry,7.57,8.26,73.63,10,310
2022,Wet Rainy ,7.78,6.46,75.03,579,433
2022,Wet Rainy ,7.74,6.47,68.2,63,377
2022,Wet Rainy ,8.32,7.63,71.1,17,243
2022,Hot Dry,8.62,8.2,65.44,7,263
2022,Wet Rainy ,7.24,1.9,69.5,104,914
2022,Cool Dry,8.07,7.97,72.6,8,249
2022,Hot Dry,8.58,8.48,66.32,0,314
2023,Wet Rainy ,8.62,8.17,68.04,16,299
2023,Wet Rainy ,8.25,7.47,67.2,199,174
2023,Wet Rainy ,7.52,6.15,70.6,24,513
2023,Hot Dry,7.82,7.34,67.1,1,
2023,Hot Dry,7.74,7.03,67.42,10,290
2023,Wet Rainy ,8.82,8.74,65.62,31,376
2023,Wet Rainy ,7.2,2.76,71.07,42,506
2023,Cool Dry,7.91,7.54,65.8,1,117
2023,Cool Dry,8.1,8.3,65.4,2,336
2023,Wet Rainy ,8.91,8.76,64.06,12,265
2024,Wet Rainy ,8.24,8.59,70.85,148,
2024,Hot Dry,7.44,6.22,72,2,
2024,Wet Rainy ,7.5,6.75,68.7,5,656
2024,Wet Rainy ,7.18,3.54,69.03,86,529
2024,Cool Dry,8.25,9.22,69.83,29,289
2024,Wet Rainy ,8.03,7.48,68.9,17,508
2024,Cool Dry,7.81,7.91,69.9,35,381
2024,Hot Dry,7.48,6.61,72.6,0,
