YEAR,Season,pH,DO,TDS,FCO,TN
2022,Wet Rainy ,7.78,6.72,81.7,,679
2022,Hot Dry,7.99,7.71,119,,1131
2022,Cool Dry,8.22,7.62,179.1,,496
2022,Cool Dry,7.84,7.05,102.4,,426
2022,Wet Rainy ,7.77,6.21,78.94,,502
2022,Wet Rainy ,8.23,7.35,116.4,,627
2022,Wet Rainy ,8.26,7.66,105.3,,599
2022,Hot Dry,7.68,5.61,84.1,,454
2022,Cool Dry,8.05,6.84,159.3,,347
2022,Hot Dry,7.7,6.9,96.2,,459
2023,Wet Rainy ,8.42,7.28,71.8,,291
2023,Wet Rainy ,7.56,3.65,111.2,,205
2023,Wet Rainy ,8.52,7.77,74,,585
2023,Hot Dry,7.46,4.6,72,,317
2023,Hot Dry,7.99,6.5,70.3,,283
2023,Wet Rainy ,8.1,6.29,128.84,,424
2023,Wet Rainy ,7.94,6.04,154,,990
2023,Cool Dry,7.58,5.91,77.75,,172
2023,Cool Dry,7.71,7.12,67.97,,327
2023,Wet Rainy ,8.34,7.98,125,,475
2024,Hot Dry,7.67,6.81,73.1,,
2024,Wet Rainy ,7.84,7.26,91.2,,975
2024,Wet Rainy ,7.72,5.45,117.2,,1631
2024,Cool Dry,7.62,7.84,71.18,,297
2024,Wet Rainy ,7.55,4.86,100.44,,501
2024,Cool Dry,7.44,5.36,64.2,,630
2024,Cool Dry,7.51,6.64,70.37,,384
2024,Hot Dry,7.22,4.46,74.46,,
