YEAR,Season,pH,DO,TDS,FCO,TN
2022,Wet Rainy ,7.35,3.03,84.74,199.00,506.60
2022,Wet Rainy ,7.70,4.93,77.82,0.00,451.80
2022,Wet Rainy ,8.00,5.95,76.53,1.00,463.20
2022,Cool Dry,7.63,5.58,76.17,1.00,281.20
2022,Cool Dry,7.53,5.50,79.08,5.00,303.20
2022,Hot Dry,7.63,6.09,75.30,16.00,238.40
2022,Hot Dry,7.40,5.01,67.76,3.00,291.00
2022,Hot Dry,7.34,3.83,82.08,6.00,732.60
2022,Hot Dry,7.46,3.34,67.21,3.00,290.00
2022,Wet Rainy ,7.51,3.58,68.09,7.00,306.40
2023,Wet Rainy ,7.91,6.00,71.50,1.00,320.20
2023,Wet Rainy ,8.33,6.58,72.95,1.00,692.40
2023,Wet Rainy ,7.59,4.41,78.97,2.00,442.40
2023,Wet Rainy ,7.27,2.63,74.12,9.00,263.80
2023,Cool Dry,7.56,5.55,70.11,2.00,213.00
2023,Cool Dry,7.61,7.11,66.31,0.00,365.00
2023,Hot Dry,7.53,5.54,66.41,0.00,326.00
2023,Hot Dry,7.90,6.32,67.67,0.00,323.20
2023,Wet Rainy ,7.75,3.65,66.07,0.00,237.40
2023,Wet Rainy ,7.46,3.59,70.95,28.00,346.20
2024,Wet Rainy ,7.52,4.06,67.23,210.00,909.40
2024,Wet Rainy ,7.22,3.58,72.72,16.00,639.20
2024,Wet Rainy ,7.51,4.45,73.38,0.00,474.00
2024,Wet Rainy ,7.49,4.98,69.82,4.00,393.80
2024,Cool Dry,7.49,5.33,74.22,40.00,452.20
2024,Cool Dry,7.58,6.60,69.80,10.00,464.20
2024,Cool Dry,7.73,7.99,70.50,32.00,255.00
2024,Hot Dry,7.12,2.25,72.68,1.00,
2024,Hot Dry,7.63,5.00,72.64,0.00,
