YEAR,Season,pH,DO,TDS,FCO,TN
2022,Wet Rainy ,8.63,7.89,72.8,816,650
2022,Hot Dry,7.92,7.33,85.9,86,792
2022,Cool Dry,7.65,7.31,75.42,2419,377
2022,Cool Dry,7.24,6.72,79.9,2419.6,552
2022,Wet Rainy ,7.63,6.87,72.3,2420,862
2022,Wet Rainy ,7.51,6.44,65.5,8,471
2022,Wet Rainy ,8.62,7.99,73.7,88,359
2022,Hot Dry,8.67,7.67,65.5,365,377
2022,Wet Rainy ,7.38,3.64,68.32,2419.6,491
2022,Cool Dry,7.97,7.41,71.7,326,259
2022,Hot Dry,8.03,7.62,75.33,22,784
2023,Wet Rainy ,8.48,7.56,68.42,461,345
2023,Wet Rainy ,7.58,5.89,70.4,649,181
2023,Wet Rainy ,7.69,6,65.5,308,442
2023,Cool Dry,8.15,7.36,70.85,5,507
2023,Cool Dry,7.41,6.94,70.5,2419.6,481
2023,Wet Rainy ,8.81,8.15,65.7,461,1200
2023,Wet Rainy ,7.43,5.2,73.65,2419.6,409
2023,Cool Dry,8.02,7.64,65.34,3,124
2023,Cool Dry,7.29,6.43,67.64,89,599
2023,Wet Rainy ,8.86,8.83,64.43,488,3411
2024,Cool Dry,7.95,7.28,69.94,47,501
2024,Hot Dry,7.52,7.08,71.52,196,
2024,Wet Rainy ,7.23,5.23,76.8,148,1089
2024,Wet Rainy ,7.78,6.69,73.9,2419.6,686
2024,Hot Dry,8.07,9.2,74.52,2419.6,566
2024,Wet Rainy ,7.74,6.29,70.4,435,1210
2024,Cool Dry,7.8,7.79,61.04,727,548
2024,Hot Dry,7.6,6.7,74.97,11,
